,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.6943521594684385
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.6943521594684385
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.08849557522123894
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.27414634146341466
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.27414634146341466
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.27414634146341466
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.27414634146341466
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.4728205128205128
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.08849557522123894
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.27414634146341466
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.08849557522123894
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.08849557522123894
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.4728205128205128
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.08849557522123894
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.27414634146341466
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.08849557522123894
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.27414634146341466
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.27414634146341466
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.4728205128205128
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.27414634146341466
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.08849557522123894
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.27414634146341466
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.4728205128205128
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.27414634146341466
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.4728205128205128
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.27414634146341466
26,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.08849557522123894
27,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.4728205128205128
28,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.4728205128205128
29,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.4728205128205128
30,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.02097902097902098
31,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.08849557522123894
32,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.08849557522123894
33,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.4728205128205128
34,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.0
35,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.6943521594684385
36,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.4728205128205128
37,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.4728205128205128
38,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.4728205128205128
39,male,27,German,Football,54,True,True,False,2,phd,A,False,0.6943521594684385
40,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.4728205128205128
41,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.4728205128205128
42,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.27414634146341466
43,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.27414634146341466
44,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.6943521594684385
45,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.27414634146341466
46,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.4728205128205128
47,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.08849557522123894
48,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.6943521594684385
49,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.08849557522123894
50,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.27414634146341466
51,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.08849557522123894
52,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.27414634146341466
53,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.4728205128205128
54,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.08849557522123894
55,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.125
56,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.125
