,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.695534751998546
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.6067392009231444
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.1677333626796943
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.08272347910888207
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.23888995843197192
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.1284225659141162
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.5005896442409921
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.3690824411687985
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.13641547977795662
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.09318090347864391
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.1673451302320373
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.1673451302320373
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.3798636627591613
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.1470234807177376
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.4241638406170031
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.13857480303021974
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.3756991345073358
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.09318090347864391
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.43733127167854574
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.23888995843197192
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.17385729766133584
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.23888995843197192
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.39265106310975895
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.12479710306440482
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.32411644581756954
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.09318090347864391
