,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.9454637996395128
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.5003776217574984
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.05953222848869833
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.02648496873259576
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.19376264008225405
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.0022474404430430773
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.7268224139814422
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.06135559320269809
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.014179586201317552
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.01955767288691015
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.08017978554883702
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.059115135030352935
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.3025751711682867
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.06417036425898724
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.18918151391460789
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.02805699300247886
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.4017321799873355
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.020435552655679215
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.15319157905069755
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.3009851870547842
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.033219705236906
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.31407369172950234
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.5934794454356558
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.006756648736737188
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.39383882102865875
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.015649543289169374
26,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.03142205471316104
27,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.7759285168574548
28,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.9104218240374303
29,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.8458530454591084
30,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.0019070018842087832
31,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.11549096271202493
32,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.16264842714429484
33,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.3780473579858255
34,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.039739954588514335
35,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.7508525195379475
36,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.11230542934042154
37,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.9508689335247997
38,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.9701889856090041
39,male,27,German,Football,54,True,True,False,2,phd,A,False,0.29523417294819504
40,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.019832724616468563
41,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.9427196521444923
42,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.005415050926784089
43,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.004095867096283594
44,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.6676881196656198
45,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.017029875009459974
46,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.03407401695077665
47,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.05593627338392994
48,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.7816096324333706
49,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.5401335222034302
50,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.7484105317318716
51,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.07994419069542646
52,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.3213536808200732
53,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.8890706472118861
54,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.10153239481654718
55,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.11227793877025093
56,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.17055308237990738
57,male,27,Dutch,Swimming,68,False,False,False,1,bachelor,A,False,0.2305396688550157
58,male,25,Dutch,Football,62,True,False,False,2,master,A,True,0.9423815243297585
59,male,27,Dutch,Rugby,57,False,False,False,1,bachelor,C,False,0.0972748664508543
60,male,27,Dutch,Football,51,False,False,False,1,bachelor,C,False,0.1058752264043212
61,male,25,Dutch,Tennis,66,False,False,False,2,master,B,True,0.4312762535118931
62,female,26,German,Chess,60,False,False,False,0,bachelor,D,False,0.00043881236212022027
63,male,25,Dutch,Football,59,True,True,True,2,master,C,True,0.8695068168936136
64,female,23,Dutch,Chess,67,False,False,False,1,bachelor,C,False,0.047293092659507
65,female,28,Dutch,Football,65,True,False,True,3,bachelor,A,False,0.7389787450985771
66,female,28,Belgian,Tennis,74,False,False,True,2,bachelor,A,False,0.036298007058449794
67,male,23,Dutch,Swimming,58,False,False,False,0,bachelor,B,False,0.0004896331319293835
68,male,28,Dutch,Rugby,66,True,True,True,3,master,D,True,0.9184963914397601
69,female,24,Dutch,Running,63,False,False,False,1,master,C,False,0.32054563422277543
70,male,26,Dutch,Rugby,51,True,True,False,2,master,C,True,0.7630570922139858
71,male,23,Dutch,Cricket,75,False,False,True,2,master,D,True,0.9787858416420274
72,female,25,German,Swimming,63,False,False,False,1,bachelor,C,True,0.061343991567915215
73,female,22,Dutch,Tennis,63,False,False,False,1,bachelor,B,False,0.011738949036441836
74,female,31,Dutch,Golf,56,False,False,False,1,bachelor,C,False,0.09428346083944374
75,male,25,Dutch,Football,50,False,False,False,2,master,D,False,0.005058179493138458
76,female,22,Dutch,Chess,57,False,False,False,0,bachelor,D,False,0.0004463218920265103
77,male,24,German,Swimming,67,False,False,False,1,bachelor,A,False,0.2671380711648497
78,male,27,Dutch,Rugby,69,False,True,False,0,master,A,False,0.006507921706329828
79,male,23,Dutch,Chess,69,False,False,False,1,bachelor,C,False,0.03408824362154038
80,female,25,Dutch,Cricket,60,False,False,True,2,bachelor,B,True,0.4099313743253526
81,female,26,Dutch,Football,63,True,True,False,2,master,B,True,0.8149367244311735
82,female,24,Dutch,Chess,62,False,False,False,1,bachelor,C,False,0.07411803137874129
83,female,22,Dutch,Tennis,66,False,False,False,1,bachelor,D,True,0.3309717150000826
84,female,24,Dutch,Football,57,False,False,False,2,master,D,False,0.020765025184843015
85,female,28,German,Swimming,58,False,True,False,0,master,A,False,0.007840524170959368
86,female,27,Belgian,Chess,67,False,False,False,1,master,D,True,0.8842514748274454
87,female,22,Dutch,Tennis,72,False,False,False,1,bachelor,A,True,0.08858627721496463
88,female,25,Dutch,Chess,59,False,False,False,1,bachelor,A,False,0.4012006605576568
89,male,27,Dutch,Rugby,65,False,True,False,1,master,C,True,0.8245266962170452
90,male,27,Dutch,Football,64,True,False,False,2,master,B,True,0.7255713131098844
91,female,27,Dutch,Swimming,65,False,False,False,0,bachelor,D,True,0.017794573283302972
92,male,26,Dutch,Swimming,63,True,False,True,3,master,C,True,0.47555853988659635
93,female,31,Belgian,Golf,60,False,True,False,1,bachelor,B,False,0.03616037549139477
94,male,28,Dutch,Football,48,False,False,False,1,bachelor,A,False,0.00011142451251452982
95,female,23,Belgian,Chess,61,False,False,False,1,master,A,True,0.7739818892143017
96,female,28,Dutch,Chess,69,False,False,False,0,master,D,False,0.08571129070494143
97,male,24,Dutch,Rugby,56,False,False,True,2,master,D,False,0.022938549569317446
98,male,26,Dutch,Rugby,63,True,True,False,2,bachelor,B,True,0.7777763524203143
99,male,27,Dutch,Running,62,False,False,False,1,master,D,False,0.034235125105552974
100,female,21,Dutch,Swimming,63,False,False,False,1,bachelor,B,False,0.01931057679105301
101,female,26,Dutch,Swimming,62,False,False,False,0,master,C,False,0.005517690789787391
102,female,27,Dutch,Running,65,False,False,False,1,bachelor,B,False,0.032416386263323396
103,female,21,Dutch,Chess,62,False,False,False,1,bachelor,A,True,0.4065572897244406
104,male,24,Dutch,Football,63,True,True,True,2,master,C,False,0.8714091274797471
105,female,24,Dutch,Swimming,62,False,False,False,1,bachelor,B,False,0.024240201084339053
106,male,25,German,Football,52,False,False,False,2,master,C,True,0.38542284818311323
107,female,27,German,Tennis,66,False,True,True,2,master,A,True,0.8014048562785885
108,male,30,Dutch,Football,54,True,True,False,3,master,C,True,0.7493896001271402
