,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.9149568134817456
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.5354152796144381
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.032220712505610025
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.024372544242331137
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.23096357714938553
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.0041171273081764955
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.7603468761892961
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.04634900590112755
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.018224462287500524
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.024768202267548736
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.15051862042977399
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.038136364859044654
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.3058758213836771
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.06871620385036845
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.22181797670870151
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.039558289763431474
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.37817039328552676
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.021751764582319102
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.14245471446923483
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.3510601565172564
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.046178310286279105
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.22013182886305194
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.5018345634122884
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.010910315819719702
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.4537066625799357
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.016869512810677993
26,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.028003348184210332
27,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.6234387838674392
28,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.9067039225985086
29,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.8437442463956885
30,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.0016541632731155076
31,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.10256299294544827
32,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.08751503787206347
33,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.2627652607901884
34,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.048395499416636165
35,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.677587207075334
36,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.07925255513813592
