,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.8062186343804678
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.47206261945760375
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.05365549248190012
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.08062416564225842
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.17931289036258183
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.12790136729282914
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.2789929008524583
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.4217092540612441
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.38135496865226276
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.09970939257694031
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.19651057073911865
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.15566663905631764
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.6597990787681418
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.28659941056373983
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.5878155233669738
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.08713146925226509
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.26897090112909366
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.13287242741672797
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.25014307669863284
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.24225965322884488
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.3870601586539525
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.15894013200235543
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.1946036435085985
