,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.8223505220905749
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.5107829645625059
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.06846424690980793
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.07315266778727997
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.17460643641019746
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.12996269997447998
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.29573395810710457
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.4722829265922709
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.39791659392487433
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.09351124439602544
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.2221035669271694
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.16367026161173712
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.6314326829344251
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.3310555138636177
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.6097282970844875
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.08732733045659394
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.2815886027204245
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.14385790934237247
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.27873708764018973
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.24011793369335754
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.3674064861266077
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.20134104449549228
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.19681660981366383
3334,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.2758888213421438
2336,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.32504427113126116
1411,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.12878937733902635
2219,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.06018110210143673
1181,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.5343016836525771
3680,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.27120436381443386
3601,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.23894750920927724
3611,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.04005460009243878
2604,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.1361787198392462
2009,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.050035967825057634
2289,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.2401486983054058
3418,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.09497606581902816
778,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.7192383998898665
2298,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.5624936952584497
3932,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.4834033190455908
1136,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.7266101769454255
646,male,27,German,Football,54,True,True,False,2,phd,A,False,0.7183188602918917
3247,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.2038826227363082
1913,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.4438359448811566
3600,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.23607105527734054
3183,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.08120992876867629
153,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.5927936045781301
1327,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.11140722570617374
3857,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.20305091367393927
2573,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.14127902968169195
650,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.38650453825474906
2908,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.1437893815450801
1965,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.4819366675152027
2509,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.060162879405465
945,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.1362861700297955
3814,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.4295448729202701
2370,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.06440817742338956
2060,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.19279085459768858
2787,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.07726969900549106
480,male,27,Dutch,Swimming,68,False,False,False,1,bachelor,A,False,0.29228963218062526
766,male,25,Dutch,Football,62,True,False,False,2,master,A,True,0.6816102313535372
2377,male,27,Dutch,Rugby,57,False,False,False,1,bachelor,C,False,0.07939549764582088
