,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.8519004129587632
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.5157531266064852
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.10384021403752644
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.054668295532247654
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.23411867814414142
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.026849267745944587
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.5767025971595378
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.19776743826930454
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.05182478650397166
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.07463978407553637
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.08034083672633881
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.1249271638884623
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.4099851669434409
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.07439482922464448
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.18751599200545377
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.07852109607008143
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.2446260670835572
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.0905362977032367
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.1838350319764449
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.35368606742232805
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.04524974886720786
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.18982023600221956
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.625485077494962
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.04918918830366529
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.5104133933726926
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.10627710185523838
26,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.03359138635211025
27,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.5646494094763143
28,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.9039377369204343
29,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.7949567695542675
30,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.03156833770382582
31,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.1310081088909471
32,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.11186888461092707
33,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.464694736775059
34,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.036454415801726155
35,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.46610119573449027
36,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.1463394179814431
37,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.7809303672183002
38,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.9801205603813041
39,male,27,German,Football,54,True,True,False,2,phd,A,False,0.4595082281730783
