,gender,GPA,degree,decision,probability
0,female,0.25386490971844905,master,False,0.19374475777608868
1,female,0.09487754732819226,master,False,0.31279814970322456
2,female,-0.4154718859445321,master,False,0.3808628901216562
3,male,-0.2230971774523213,bachelor,False,0.28143249364595135
4,female,1.2077890840599896,bachelor,False,0.2875529188329439
5,female,-0.06410981506206452,master,True,0.2842384721255174
6,male,-1.6539834389646322,bachelor,False,0.24298573543403182
7,male,-0.38208453984257806,bachelor,True,0.22713497611769862
8,female,0.25386490971844905,bachelor,True,0.15526489588383577
9,male,-0.7000592646230916,master,False,0.44634670310920127
10,female,-0.8590466270133484,bachelor,False,0.07699709643490328
11,female,0.09487754732819226,bachelor,False,0.12173753083918766
12,other,0.25386490971844905,master,False,0.572276029388796
13,male,-0.7000592646230916,master,False,0.44634670310920127
14,male,-0.06410981506206452,bachelor,False,0.23772324675804493
15,female,-0.7000592646230916,bachelor,False,0.078815540347316
16,male,-0.06410981506206452,bachelor,False,0.23772324675804493
17,female,-1.0180339894036052,bachelor,False,0.07699709643490328
18,male,-1.9719581637451458,bachelor,False,0.13720235571762615
19,female,-1.3360087141841188,master,False,0.43106111856348905
20,female,1.8437385336210168,phd,False,0.5543290021791073
21,male,-2.1309455261354024,bachelor,False,0.12223999355924407
22,other,-0.38208453984257806,bachelor,False,0.017586701501666035
23,female,0.25386490971844905,bachelor,False,0.15526489588383577
24,female,-0.2230971774523213,bachelor,False,0.14709733271437606
25,female,0.25386490971844905,master,True,0.19374475777608868
26,male,0.4128522721087058,master,True,0.5598268386792636
27,female,-0.2230971774523213,master,True,0.37764124421825557
28,male,1.3667764464502465,bachelor,False,0.267322099487667
29,other,-1.3360087141841188,bachelor,False,0.13026785239272512
30,other,1.68475117123076,master,True,0.43038320304064087
31,male,-0.8590466270133484,bachelor,False,0.2241242265215332
32,male,-0.38208453984257806,bachelor,True,0.22713497611769862
33,female,-0.5410719022328349,bachelor,True,0.11505152913916379
34,female,1.048801721669733,bachelor,False,0.23117656661502176
35,male,-0.38208453984257806,master,False,0.4198691945105965
36,male,-0.06410981506206452,bachelor,False,0.23772324675804493
37,male,-1.6539834389646322,master,True,0.33224991257627373
38,female,1.3667764464502465,master,False,0.4517333106152418
39,male,-1.0180339894036052,bachelor,True,0.2241242265215332
40,female,-1.0180339894036052,master,False,0.3586298253079389
41,female,0.4128522721087058,bachelor,False,0.3823398109919533
42,male,1.314310616861462,master,True,0.5621900990462102
43,female,-1.3360087141841188,bachelor,False,0.12094706639166737
44,female,0.25386490971844905,bachelor,False,0.15526489588383577
45,male,-0.38208453984257806,bachelor,False,0.22713497611769862
46,female,0.5718396344989626,master,False,0.3848410413966722
47,female,2.4001943019869154,master,False,0.6105944897208045
48,female,0.09487754732819226,master,False,0.31279814970322456
