,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.8743750062389372
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.49413007721982644
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.10781739070911228
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.048530190823451565
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.1990390386666642
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.054472770002957686
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.5254016684452524
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.2102036505109609
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.077395461714797
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.06442433555660054
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.08530781428263544
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.06841473595490041
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.3832073347809388
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.09273634126561398
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.3212204582153144
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.054004718870472236
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.30680512973215934
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.05867382121014691
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.23399285233243908
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.3243051752603411
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.04983483151979624
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.23278402513472532
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.6078192082255248
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.10131237941993941
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.49566307555502126
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.08538126460995309
26,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.03789723180459636
27,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.7156810477326496
28,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.7925310335080507
29,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.7582054019612336
30,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.032467532467532464
31,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.1472167431889888
32,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.17546842366743023
33,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.4285968930170758
34,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.10845408313821271
35,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.49081475401541386
36,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.23997581081168812
37,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.713753720651147
38,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.9467733823156378
39,male,27,German,Football,54,True,True,False,2,phd,A,False,0.5624564459930314
40,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.16279383711750056
41,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.6922759294273028
42,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.03890235499549149
43,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.04154263432404521
44,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.5573856534095899
45,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.08111050532874661
46,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.1632583510840367
47,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.052765945853639175
48,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.7160407331559837
49,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.3995240361951893
50,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.7531526213810462
51,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.05715808961439564
52,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.2769945412819336
53,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.7503814991227181
54,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.11824345423007065
55,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.16350916510488175
56,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.34769355360173465
57,male,27,Dutch,Swimming,68,False,False,False,1,bachelor,A,False,0.3726711524438981
58,male,25,Dutch,Football,62,True,False,False,2,master,A,True,0.8379388325127886
59,male,27,Dutch,Rugby,57,False,False,False,1,bachelor,C,False,0.08117821604591721
60,male,27,Dutch,Football,51,False,False,False,1,bachelor,C,False,0.050391958118728174
61,male,25,Dutch,Tennis,66,False,False,False,2,master,B,True,0.45202201302917916
62,female,26,German,Chess,60,False,False,False,0,bachelor,D,False,0.0
63,male,25,Dutch,Football,59,True,True,True,2,master,C,True,0.8634921131789002
64,female,23,Dutch,Chess,67,False,False,False,1,bachelor,C,False,0.06916241339872915
65,female,28,Dutch,Football,65,True,False,True,3,bachelor,A,False,0.5999696203997377
66,female,28,Belgian,Tennis,74,False,False,True,2,bachelor,A,False,0.19555941449988543
67,male,23,Dutch,Swimming,58,False,False,False,0,bachelor,B,False,0.014207444308317404
68,male,28,Dutch,Rugby,66,True,True,True,3,master,D,True,0.5895444216816512
69,female,24,Dutch,Running,63,False,False,False,1,master,C,False,0.4297658859108656
70,male,26,Dutch,Rugby,51,True,True,False,2,master,C,True,0.6872193822754326
71,male,23,Dutch,Cricket,75,False,False,True,2,master,D,True,0.7841888497420858
72,female,25,German,Swimming,63,False,False,False,1,bachelor,C,True,0.09740764592876154
73,female,22,Dutch,Tennis,63,False,False,False,1,bachelor,B,False,0.03419091933118091
74,female,31,Dutch,Golf,56,False,False,False,1,bachelor,C,False,0.15485730621659344
75,male,25,Dutch,Football,50,False,False,False,2,master,D,False,0.13549997113506987
76,female,22,Dutch,Chess,57,False,False,False,0,bachelor,D,False,0.0
77,male,24,German,Swimming,67,False,False,False,1,bachelor,A,False,0.3546452715147913
78,male,27,Dutch,Rugby,69,False,True,False,0,master,A,False,0.04930685193717112
79,male,23,Dutch,Chess,69,False,False,False,1,bachelor,C,False,0.05353161562507425
80,female,25,Dutch,Cricket,60,False,False,True,2,bachelor,B,True,0.4823493187152519
81,female,26,Dutch,Football,63,True,True,False,2,master,B,True,0.6818797123662192
82,female,24,Dutch,Chess,62,False,False,False,1,bachelor,C,False,0.06575106012363605
83,female,22,Dutch,Tennis,66,False,False,False,1,bachelor,D,True,0.28951629604933554
84,female,24,Dutch,Football,57,False,False,False,2,master,D,False,0.18732468054297874
85,female,28,German,Swimming,58,False,True,False,0,master,A,False,0.06766038788770973
86,female,27,Belgian,Chess,67,False,False,False,1,master,D,True,0.760292597709632
87,female,22,Dutch,Tennis,72,False,False,False,1,bachelor,A,True,0.18971803899186954
88,female,25,Dutch,Chess,59,False,False,False,1,bachelor,A,False,0.4113409835260259
89,male,27,Dutch,Rugby,65,False,True,False,1,master,C,True,0.5798509421438319
90,male,27,Dutch,Football,64,True,False,False,2,master,B,True,0.5491002446763407
91,female,27,Dutch,Swimming,65,False,False,False,0,bachelor,D,True,0.16468623105058922
92,male,26,Dutch,Swimming,63,True,False,True,3,master,C,True,0.6269679718709091
93,female,31,Belgian,Golf,60,False,True,False,1,bachelor,B,False,0.047894747983476975
94,male,28,Dutch,Football,48,False,False,False,1,bachelor,A,False,0.09782680346881185
95,female,23,Belgian,Chess,61,False,False,False,1,master,A,True,0.5570492795767268
96,female,28,Dutch,Chess,69,False,False,False,0,master,D,False,0.26861820473090575
97,male,24,Dutch,Rugby,56,False,False,True,2,master,D,False,0.15650226061584235
98,male,26,Dutch,Rugby,63,True,True,False,2,bachelor,B,True,0.5023307242223536
99,male,27,Dutch,Running,62,False,False,False,1,master,D,False,0.21717446764348738
100,female,21,Dutch,Swimming,63,False,False,False,1,bachelor,B,False,0.04466812702120492
101,female,26,Dutch,Swimming,62,False,False,False,0,master,C,False,0.04531101473549115
102,female,27,Dutch,Running,65,False,False,False,1,bachelor,B,False,0.07015762884848137
103,female,21,Dutch,Chess,62,False,False,False,1,bachelor,A,True,0.4109663892806617
104,male,24,Dutch,Football,63,True,True,True,2,master,C,False,0.8628484585878774
105,female,24,Dutch,Swimming,62,False,False,False,1,bachelor,B,False,0.04393979421054765
106,male,25,German,Football,52,False,False,False,2,master,C,True,0.48940381112316705
107,female,27,German,Tennis,66,False,True,True,2,master,A,True,0.8270743948328645
108,male,30,Dutch,Football,54,True,True,False,3,master,C,True,0.6304186418792875
109,male,25,Dutch,Golf,66,False,False,False,1,bachelor,A,False,0.2861341852595009
110,male,26,Dutch,Football,64,True,False,True,3,master,D,False,0.08521715806625003
111,female,25,German,Cricket,69,False,False,False,1,master,D,True,0.8282405304626388
112,male,31,Dutch,Golf,60,False,True,False,0,master,B,False,0.00851542948501336
113,male,25,Dutch,Tennis,52,False,False,True,2,bachelor,A,False,0.16311882658871296
114,male,30,Dutch,Rugby,51,True,False,True,2,master,A,False,0.27129967475283856
115,female,28,Dutch,Swimming,59,True,True,True,3,master,A,True,0.7347640336508611
116,male,27,Dutch,Football,66,False,False,True,2,bachelor,B,False,0.36390217064437785
117,female,26,Dutch,Running,58,False,False,False,0,bachelor,D,False,0.0
118,female,22,Dutch,Chess,72,False,False,False,2,master,D,True,0.803255101451254
