,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
0,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.8717948717948718
1,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.4802808302808303
2,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.03418803418803419
3,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.01003344481605351
4,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.10697985393152991
5,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.029914529914529916
6,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.5695415695415695
7,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.1562881562881563
8,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.06456330028079915
9,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.08167141500474834
10,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.06282051282051282
11,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.1623931623931624
12,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.3950560462278941
13,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.05128205128205128
14,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.14491989491989493
15,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.09588371239954949
16,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.1628162816281628
17,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.03988603988603988
18,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.21723646723646722
19,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.39926489704144613
20,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.008547008547008548
21,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.2006382593678419
22,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.601413727884316
23,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.06837606837606838
24,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.5150997150997151
25,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.10113960113960113
26,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.009335963182117029
27,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.6096866096866098
28,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.9503162475384697
29,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.8518481518481518
30,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.09401709401709402
31,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.12034219341911649
32,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.06944444444444445
33,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.47989441380245973
34,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.010683760683760684
35,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.44526143790849676
36,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.09381359381359383
37,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.7692307692307693
38,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,1.0
39,male,27,German,Football,54,True,True,False,2,phd,A,False,0.6666666666666666
40,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.10767935767935767
41,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.7264957264957265
42,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.021367521367521368
43,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.056876622902263925
44,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.7365023865023866
45,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.0029983457402812243
46,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.09615836838059061
47,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.03418803418803419
48,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.8917378537042122
49,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.6123931623931624
50,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.8127570672442467
51,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.20126170126170126
52,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.28120017887039583
53,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.6066612399945732
54,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.5837711671045004
55,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.19658119658119658
56,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.45421245421245426
