,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.7499900740783054
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.45701081277944067
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.10936969076385678
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.12810448339560693
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.2257436499253837
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.1810979175909158
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.315559589715414
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.45469265576605983
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.3495982543946176
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.1425357614990508
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.20766725467608818
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.2099906457510651
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.5624896722764473
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.26097168637450563
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.5186982038221291
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.12050070051507651
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.2955562999355831
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.17479241391147457
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.265310885353999
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.27717126271074227
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.3970308920923314
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.20008445750145312
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.23631227066880645
3334,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.2812339465894206
2336,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.3732931677994374
1411,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.15795995067429466
2219,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.09505147498837267
1181,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.48696578583006944
3680,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.29784113368164244
3601,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.24016635321039076
3611,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.0772975350788565
