,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.7755654614751314
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.4815738814472039
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.1161195878625838
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.10762324996634914
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.2110087874794424
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.18278211772378797
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.3131175665957754
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.4599588521885624
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.3526596610243963
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.1258694726657217
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.21533109278903717
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.21452979347660664
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.5479516797466617
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.3281378593281663
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.5315694504161195
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.11832866765318877
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.27568438225972325
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.17010038576657588
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.2848166396230681
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.26338525535953816
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.38339786650834995
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.23438351695093076
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.2305466877760945
3334,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.28970725854461976
2336,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.379553788716762
1411,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.14118630327221668
2219,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.09327776203821554
1181,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.5087943178935788
3680,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.2848772260053636
3601,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.23813281677796988
3611,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.06320467018242583
2604,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.19012054649932905
2009,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.07483960021933926
2289,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.2632514695970869
3418,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.1380398242101416
778,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.6544702671895083
2298,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.4930705227864436
3932,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.47565640775740364
1136,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.6889280318001388
646,male,27,German,Football,54,True,True,False,2,phd,A,False,0.7253943834009275
3247,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.22637188855536966
1913,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.4707237587743388
3600,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.25935052606461856
3183,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.11359294133279792
153,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.542369259532071
1327,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.14374734731130887
3857,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.24196541101592658
2573,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.18316150098593872
650,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.41122860299190933
2908,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.18348007950571543
1965,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.47044571194149937
2509,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.0953712565751669
945,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.1833309943114088
3814,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.4045016208092592
2370,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.08807632475137286
2060,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.28133164699514607
2787,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.13093449263001647
480,male,27,Dutch,Swimming,68,False,False,False,1,bachelor,A,False,0.29918543134792974
766,male,25,Dutch,Football,62,True,False,False,2,master,A,True,0.6284705382359999
2377,male,27,Dutch,Rugby,57,False,False,False,1,bachelor,C,False,0.11887825200436435
2816,male,27,Dutch,Football,51,False,False,False,1,bachelor,C,False,0.07630407883335587
1631,male,25,Dutch,Tennis,66,False,False,False,2,master,B,True,0.4976755373291061
3524,female,26,German,Chess,60,False,False,False,0,bachelor,D,False,0.05120639961947112
2776,male,25,Dutch,Football,59,True,True,True,2,master,C,True,0.47584561794019153
2521,female,23,Dutch,Chess,67,False,False,False,1,bachelor,C,False,0.16696751749169977
8,female,28,Dutch,Football,65,True,False,True,3,bachelor,A,False,0.6690773041250035
552,female,28,Belgian,Tennis,74,False,False,True,2,bachelor,A,False,0.5310663734396762
1742,male,23,Dutch,Swimming,58,False,False,False,0,bachelor,B,False,0.050239824344716785
3705,male,28,Dutch,Rugby,66,True,True,True,3,master,D,True,0.7937397310440424
2642,female,24,Dutch,Running,63,False,False,False,1,master,C,False,0.200655070971625
2775,male,26,Dutch,Rugby,51,True,True,False,2,master,C,True,0.465530646974697
3427,male,23,Dutch,Cricket,75,False,False,True,2,master,D,True,0.6019117080647319
2444,female,25,German,Swimming,63,False,False,False,1,bachelor,C,True,0.13065128284367025
1027,female,22,Dutch,Tennis,63,False,False,False,1,bachelor,B,False,0.12790160136871384
2226,female,31,Dutch,Golf,56,False,False,False,1,bachelor,C,False,0.08121245820583928
3011,male,25,Dutch,Football,50,False,False,False,2,master,D,False,0.3085765507552498
3622,female,22,Dutch,Chess,57,False,False,False,0,bachelor,D,False,0.04511925582598117
219,male,24,German,Swimming,67,False,False,False,1,bachelor,A,False,0.2899768188585846
403,male,27,Dutch,Rugby,69,False,True,False,0,master,A,False,0.4106683438931595
2539,male,23,Dutch,Chess,69,False,False,False,1,bachelor,C,False,0.1796619281040489
1254,female,25,Dutch,Cricket,60,False,False,True,2,bachelor,B,True,0.290317205766698
1208,female,26,Dutch,Football,63,True,True,False,2,master,B,True,0.5749498129935892
2957,female,24,Dutch,Chess,62,False,False,False,1,bachelor,C,False,0.13837441653807675
3714,female,22,Dutch,Tennis,66,False,False,False,1,bachelor,D,True,0.1228276660639702
3771,female,24,Dutch,Football,57,False,False,False,2,master,D,False,0.37834836826976176
564,female,28,German,Swimming,58,False,True,False,0,master,A,False,0.2676249158835196
3545,female,27,Belgian,Chess,67,False,False,False,1,master,D,True,0.3032823074956121
791,female,22,Dutch,Tennis,72,False,False,False,1,bachelor,A,True,0.3033554785032877
