,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.9995367661357202
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.12478480242877694
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,1.4651128036828764e-06
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.022325458848710122
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.004183082713163427
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,2.113599909211453e-07
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.023929220864616175
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,8.303439850103993e-13
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.044296096100558784
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.01009500106567352
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,5.70464300327441e-05
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.01913441860806067
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.6467915871221496
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,2.113670499346229e-07
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.20510599389924336
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,3.168957174468224e-05
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.99727554740682
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.00035919783311765875
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,2.575256598799856e-06
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.2985730077135974
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.0391497618694462
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.20402321946709953
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.6525751593561602
3334,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,2.314410791416529e-07
2336,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.8641205165073591
1411,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.01728333131554706
2219,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.0012603997569897267
1181,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.08678369358116035
3680,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.9742405370394133
3601,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.9553745539722204
3611,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,9.335923377486323e-06
2604,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.30175536958149834
2009,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.002564171789315996
2289,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.9640323334718668
3418,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.0005743373539637713
778,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.9466508157568075
2298,male,22,Dutch,Running,72,False,False,False,2,master,C,False,2.7486081531639543e-06
3932,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.013491969323752295
