gender,GPA,degree,decision
female,70.0,phd,True
male,67.0,bachelor,False
female,67.0,master,False
male,70.0,master,True
female,59.0,master,True
female,63.0,bachelor,True
female,63.0,bachelor,False
female,71.0,master,True
female,65.0,bachelor,False
male,55.0,master,True
female,61.0,bachelor,False
male,56.0,bachelor,True
female,62.0,bachelor,False
male,56.0,bachelor,False
female,63.0,bachelor,False
female,66.0,bachelor,True
male,63.0,phd,False
male,60.0,bachelor,True
male,71.0,phd,True
female,63.0,bachelor,True
female,68.0,master,False
female,65.0,master,False
male,62.0,bachelor,False
male,74.0,master,True
male,72.0,master,True
male,68.0,master,False
male,61.0,bachelor,False
male,58.0,master,True
male,56.0,master,False
male,65.0,bachelor,False
female,69.0,bachelor,True
female,61.0,bachelor,True
male,61.0,bachelor,True
male,66.0,bachelor,False
male,59.0,bachelor,False
male,51.0,master,False
male,65.0,phd,True
male,66.0,master,False
male,64.0,bachelor,False
female,71.0,master,True
female,57.0,master,True
male,68.0,bachelor,True
female,69.0,bachelor,False
female,64.0,master,False
female,67.0,bachelor,False
male,64.0,master,False
female,60.0,bachelor,False
male,65.0,master,True
female,59.0,bachelor,False
female,63.0,master,True
female,67.0,bachelor,True
male,57.0,master,True
male,58.0,bachelor,False
male,55.0,phd,True
female,74.0,master,False
male,69.0,master,False
male,62.0,master,True
male,52.0,master,False
female,59.0,master,True
female,58.0,master,False
female,57.0,bachelor,False
male,51.0,master,False
male,63.0,master,True
male,68.0,master,True
male,58.0,master,True
male,57.0,bachelor,False
male,63.0,bachelor,False
female,65.0,master,True
female,57.0,bachelor,False
female,71.0,phd,False
male,57.0,master,True
male,67.0,bachelor,False
female,64.0,master,False
female,66.0,phd,False
male,54.0,bachelor,False
female,74.0,bachelor,False
female,72.0,phd,False
male,57.0,bachelor,False
male,63.0,phd,True
male,56.0,bachelor,True
female,61.0,bachelor,False
male,62.0,bachelor,True
female,60.0,bachelor,False
female,74.0,master,True
male,56.0,bachelor,False
female,68.0,master,False
male,59.0,master,False
female,64.0,bachelor,False
male,58.0,master,True
male,68.0,bachelor,False
female,74.0,phd,False
male,60.0,bachelor,True
male,67.0,master,False
male,63.0,master,False
male,56.0,bachelor,False
male,67.0,master,False
female,70.0,master,True
female,71.0,master,False
female,69.0,master,True
male,55.0,bachelor,True
female,65.0,master,True
male,63.0,master,True
male,64.0,bachelor,True
male,69.0,master,False
other,57.0,phd,True
female,63.0,bachelor,False
female,64.0,master,False
male,58.0,bachelor,False
female,61.0,bachelor,False
male,60.0,bachelor,False
male,62.0,bachelor,True
male,49.0,bachelor,False
female,70.0,master,True
female,58.0,bachelor,False
female,70.0,master,True
female,56.0,bachelor,False
male,59.0,bachelor,True
female,53.0,bachelor,False
male,68.0,master,False
male,57.0,master,True
male,60.0,master,False
male,55.0,master,True
male,64.0,master,False
male,57.0,bachelor,False
male,62.0,bachelor,True
female,74.0,master,False
male,69.0,master,False
female,66.0,master,True
