,gender,GPA,degree,decision,probability
1746,female,64.0,master,False,0.36991107157018926
1588,female,63.0,master,False,0.35641229598515717
4184,female,59.79,master,False,0.31467700453594555
2811,male,61.0,bachelor,False,0.2525595965344996
2587,female,70.0,bachelor,False,0.2418143522538268
2158,female,62.0,master,True,0.34313785560302074
371,male,52.0,bachelor,False,0.16653956371499962
612,male,60.0,bachelor,True,0.24170049340717065
1470,female,64.0,bachelor,True,0.18347357087035226
2799,male,58.0,master,False,0.4256229144472507
2420,female,57.0,bachelor,False,0.12992849918757493
876,female,63.0,bachelor,False,0.17488986666496756
3598,other,64.0,master,False,0.36256400980262155
3551,male,58.0,master,False,0.4256229144472507
3492,male,62.0,bachelor,False,0.26373689285705054
807,female,58.0,bachelor,False,0.1366709937501278
605,male,62.0,bachelor,False,0.26373689285705054
249,female,56.0,bachelor,False,0.12347106500818353
3126,male,50.0,bachelor,False,0.15095929616627174
3046,female,54.0,master,False,0.2466952446742233
3665,female,74.0,phd,False,0.49867630497669
1252,male,49.0,bachelor,False,0.143629177024432
970,other,60.0,bachelor,False,0.14702466670968709
3089,female,64.0,bachelor,False,0.18347357087035226
2920,female,61.0,bachelor,False,0.15867713038201253
1410,female,64.0,master,True,0.36991107157018926
4147,male,65.0,master,True,0.5271906737748587
553,female,61.0,master,True,0.330104231961641
1013,male,71.0,bachelor,False,0.37723766913428475
2139,other,54.0,bachelor,False,0.1082868354337609
525,other,73.0,master,True,0.49027452140884376
2462,male,57.0,bachelor,False,0.2110688883057497
1913,male,60.0,bachelor,True,0.24170049340717065
892,female,59.0,bachelor,True,0.14370559217339154
1958,female,69.0,bachelor,False,0.2312742995216475
4206,male,60.0,master,False,0.45438002974539377
3482,male,62.0,bachelor,False,0.26373689285705054
2866,male,52.0,master,True,0.34299787129889264
97,female,71.0,master,False,0.46904068457869735
888,male,56.0,bachelor,True,0.20151277024365785
353,female,56.0,master,False,0.26902546886575757
8,female,65.0,bachelor,False,0.19238034103756027
4143,male,70.67,master,True,0.6082204489544808
2911,female,54.0,bachelor,False,0.1113815325334988
2350,female,64.0,bachelor,False,0.18347357087035226
3154,male,60.0,bachelor,False,0.24170049340717065
519,female,66.0,master,False,0.3975090893070118
4075,female,77.5,master,False,0.5635102602644264
2683,female,63.0,master,False,0.35641229598515717
3771,female,75.0,master,True,0.5273454931129543
1148,male,66.0,bachelor,False,0.3114930393475034
2665,male,63.0,bachelor,False,0.2752267047540975
153,other,70.0,master,True,0.44669776688572027
1775,female,69.0,master,False,0.4401041344132044
296,female,64.0,master,True,0.36991107157018926
2271,male,54.0,master,False,0.3697663134695441
251,male,58.0,bachelor,False,0.22095277724397458
3245,male,60.0,master,False,0.45438002974539377
149,male,67.0,master,True,0.5561653745148183
1802,female,60.0,bachelor,False,0.15103892334446495
941,male,68.0,phd,True,0.5566485306130465
2798,male,59.0,master,True,0.43995108723030435
2039,male,68.0,bachelor,False,0.337064168138769
2064,male,52.0,master,True,0.34299787129889264
2190,female,65.0,master,False,0.3836163632063194
2717,male,59.0,bachelor,False,0.23116389036821822
1346,male,54.0,bachelor,True,0.18338053783884645
719,female,62.0,bachelor,False,0.16662579625131718
1439,male,51.0,bachelor,True,0.158594228620695
3563,male,61.0,bachelor,False,0.2525595965344996
1601,female,68.0,master,False,0.42577476660183533
3063,female,66.0,bachelor,False,0.2016127310753076
3888,male,57.0,bachelor,False,0.2110688883057497
2222,male,71.0,master,True,0.6128008325519971
1661,male,54.0,bachelor,True,0.18338053783884645
1564,male,61.0,bachelor,False,0.2525595965344996
1129,male,67.0,bachelor,True,0.32414739936241505
182,male,71.0,bachelor,False,0.37723766913428475
3639,female,64.0,phd,False,0.3568614472101799
317,male,67.0,phd,False,0.5421992276515266
4186,female,61.0,master,False,0.330104231961641
3794,male,51.0,bachelor,False,0.158594228620695
2812,other,66.0,bachelor,False,0.19656555822403704
1794,female,78.0,phd,False,0.5568018131663974
3842,female,53.0,bachelor,False,0.10573386290296147
3204,female,57.0,bachelor,False,0.12992849918757493
1983,female,59.0,bachelor,False,0.14370559217339154
338,male,53.0,bachelor,False,0.17480025435647908
2708,female,57.0,bachelor,False,0.12992849918757493
2560,male,69.0,bachelor,False,0.3502289240867117
2775,female,60.0,bachelor,False,0.15103892334446495
3019,male,67.0,master,True,0.5561653745148183
2696,male,66.0,bachelor,False,0.3114930393475034
3848,male,67.0,master,True,0.5561653745148183
2642,female,71.0,master,False,0.46904068457869735
221,female,64.0,master,False,0.36991107157018926
3173,female,69.0,bachelor,False,0.2312742995216475
4140,male,69.5,master,True,0.5918317941294277
10,female,61.0,bachelor,False,0.15867713038201253
411,female,59.0,bachelor,False,0.14370559217339154
68,female,57.0,bachelor,False,0.12992849918757493
3174,female,67.0,master,False,0.41156899671580177
1808,female,64.0,bachelor,True,0.18347357087035226
355,male,68.0,phd,True,0.5566485306130465
2983,female,51.0,master,False,0.21561062076036913
427,male,71.0,master,True,0.6128008325519971
3182,male,53.0,bachelor,False,0.17480025435647908
4024,male,78.86,master,True,0.7146146246743001
2822,female,65.0,master,False,0.3836163632063194
1270,female,68.0,master,False,0.42577476660183533
1919,female,64.0,bachelor,True,0.18347357087035226
