,Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision,probability
3218,x2753g,male,27,Dutch,Football,69,False,False,False,True,2,True,bachelor,D,False,0.4818752513834328
883,x2314c,female,22,Dutch,Chess,57,False,False,False,False,0,False,bachelor,A,False,0.01273254490754339
367,x1117c,female,26,Dutch,Golf,68,True,True,True,False,2,True,master,A,True,0.987881774042786
2226,x5182d,male,30,Dutch,Rugby,56,False,False,False,False,2,False,master,C,True,0.6101401845262115
2578,x4739d,female,27,Dutch,Football,56,False,False,True,False,0,False,master,C,False,0.07655682956947651
2219,x5245f,male,27,Dutch,Golf,71,False,True,False,False,1,True,master,C,False,0.182101852149268
2911,x3482c,female,24,Dutch,Chess,54,False,False,False,False,0,False,bachelor,C,False,0.008682163821539543
2080,x1263f,female,23,Dutch,Golf,68,False,True,True,False,1,True,master,C,True,0.4504477419859189
3746,x8356a,male,24,Dutch,Golf,65,False,True,False,False,1,True,bachelor,D,True,0.3427565350046587
2368,x2052a,male,26,German,Rugby,51,True,False,False,False,2,False,master,C,True,0.10772240701435658
2096,x9143b,male,30,Dutch,Football,52,True,False,False,True,2,False,master,C,True,0.1969834686761239
1336,x5695c,male,26,Dutch,Football,59,False,False,False,False,1,False,master,B,False,0.01386925503426353
3822,x6933f,female,25,Dutch,Running,61,False,False,False,False,0,True,master,D,False,0.09078491915914118
3345,x6111g,female,22,Dutch,Swimming,58,False,True,False,False,1,False,bachelor,D,False,0.028404087650399555
3793,x8117e,female,27,Dutch,Chess,62,False,False,True,False,0,True,master,D,False,0.04626809249991627
3447,x3191f,female,30,Dutch,Football,58,True,False,False,True,3,False,bachelor,D,False,0.0035908947654201668
855,x9081e,male,23,German,Football,59,False,False,False,False,1,False,bachelor,A,False,0.2585924396422945
1630,x6505b,female,30,German,Football,64,False,False,True,False,0,True,master,B,False,3.925531490824055e-05
3172,x1191a,male,30,Dutch,Golf,65,False,False,True,False,1,True,bachelor,D,True,0.2473357102085479
1337,x5139a,female,22,Belgian,Swimming,71,False,True,True,False,1,True,master,B,False,0.006280564939145353
149,x5579c,male,27,Dutch,Cricket,67,False,False,True,True,1,False,master,A,True,0.910773305266659
1313,x7114c,male,25,Dutch,Rugby,52,False,False,False,False,2,False,master,B,True,0.6130190146589001
3396,x2581f,male,21,Dutch,Swimming,61,False,False,False,False,1,True,bachelor,D,False,0.13918413517641834
3400,x6056f,female,32,Belgian,Cricket,69,False,False,True,False,1,True,master,D,True,0.38328014756128237
1825,x9788a,female,21,German,Swimming,65,False,True,False,False,0,True,master,B,False,5.082078561369386e-05
836,x9251b,male,24,Dutch,Tennis,59,False,True,False,False,1,True,bachelor,A,False,0.02015461064893229
1547,x3175b,female,27,Dutch,Chess,67,False,True,False,False,1,True,master,B,False,0.003613148451806888
918,x8112b,female,22,Dutch,Chess,73,False,True,False,False,1,True,phd,A,True,0.6260238209974439
3433,x5999d,female,24,Dutch,Tennis,56,False,False,False,False,1,False,bachelor,D,False,0.01803847886100605
3241,x2425f,male,26,Belgian,Football,60,True,False,False,True,3,False,master,D,False,0.02792044224827778
1229,x4953f,female,21,Dutch,Tennis,62,False,False,True,False,1,True,bachelor,B,False,0.028023250219369637
338,x8195a,male,27,Dutch,Football,53,False,False,False,False,0,False,bachelor,A,False,0.0065146688644405195
1266,x2838e,male,24,German,Swimming,58,False,False,True,False,2,False,master,B,True,0.583205548286838
1535,x4285f,female,32,Dutch,Cricket,69,False,True,False,False,1,True,master,B,False,0.0035734022764562262
1762,x8780a,male,25,Dutch,Rugby,60,True,False,False,True,2,False,master,B,True,0.92631533388201
2416,x3433f,female,30,German,Rugby,52,False,False,True,True,2,False,master,C,True,0.6010233371310281
3658,x2700c,female,22,Dutch,Swimming,65,False,False,False,False,0,True,master,D,False,0.25702717744642256
647,x6165a,female,26,German,Tennis,64,False,True,False,False,1,False,bachelor,A,True,0.13720489109690814
2058,x6772f,male,24,Dutch,Rugby,54,True,False,True,True,3,False,master,C,True,0.3119980132600476
2718,x4205a,female,28,Dutch,Running,71,False,True,False,False,0,True,master,C,False,0.013882615413023908
3766,x6235c,female,23,Dutch,Running,66,False,False,False,False,1,True,master,D,True,0.8113048783257604
