,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.94714434156679
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.4880164770455096
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,0.12840013084740035
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.04947758035622046
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.2723314504261207
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,0.0007861454417128081
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.6850072298560007
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,0.1705564968937197
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.03584985058568718
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.04461723796728648
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,0.06029095252291873
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.0874549639433699
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.4091330641424696
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,0.10090737730776009
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.43896234609699286
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,0.1009044851637023
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.2381541453785133
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.04885549115552518
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,0.1851292758556288
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.2851492758065142
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.004875457704926492
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.3259823262784251
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.4118804393761421
3334,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,0.0013650171550356738
2336,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.5479664435493565
1411,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.04361547534123571
2219,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.12285189312091697
1181,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.6726972654848551
3680,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.8423629250520016
3601,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.6685934434795794
3611,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,0.044647856111785206
2604,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.12361213148013717
2009,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.11641543974304604
2289,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.329493012505121
3418,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.15762729644158882
778,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.624770665889577
2298,male,22,Dutch,Running,72,False,False,False,2,master,C,False,0.1342403005440121
3932,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.9950175754951555
1136,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.9983820917095381
646,male,27,German,Football,54,True,True,False,2,phd,A,False,0.7381903167620947
3247,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,0.012585626091890437
1913,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.712913781176007
3600,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,0.0025928236066804526
3183,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.1404011257870379
153,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,0.5282606708171383
1327,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.051507007933441505
3857,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,0.0867122775207262
2573,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,0.05949278085629706
650,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.4567686503320405
2908,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.41313355453281553
1965,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.9374657265067945
2509,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.13938031155798977
945,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.15269449598758794
3814,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.722179505287293
2370,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.13541378919638208
2060,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.166874359097041
2787,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.06999761796912828
480,male,27,Dutch,Swimming,68,False,False,False,1,bachelor,A,False,0.23691679504207927
766,male,25,Dutch,Football,62,True,False,False,2,master,A,True,0.9318738578301086
2377,male,27,Dutch,Rugby,57,False,False,False,1,bachelor,C,False,0.13585987318748177
2816,male,27,Dutch,Football,51,False,False,False,1,bachelor,C,False,0.06653959387732289
1631,male,25,Dutch,Tennis,66,False,False,False,2,master,B,True,0.6304902166875109
3524,female,26,German,Chess,60,False,False,False,0,bachelor,D,False,0.02474110133725804
2776,male,25,Dutch,Football,59,True,True,True,2,master,C,True,0.9591210138673026
2521,female,23,Dutch,Chess,67,False,False,False,1,bachelor,C,False,0.11894752610707464
8,female,28,Dutch,Football,65,True,False,True,3,bachelor,A,False,0.5399674850218215
552,female,28,Belgian,Tennis,74,False,False,True,2,bachelor,A,False,0.038233435938518225
1742,male,23,Dutch,Swimming,58,False,False,False,0,bachelor,B,False,0.006656118420090934
3705,male,28,Dutch,Rugby,66,True,True,True,3,master,D,True,0.6693068973207559
2642,female,24,Dutch,Running,63,False,False,False,1,master,C,False,0.31987290672449464
2775,male,26,Dutch,Rugby,51,True,True,False,2,master,C,True,0.702548984242404
3427,male,23,Dutch,Cricket,75,False,False,True,2,master,D,True,0.9980065451485072
2444,female,25,German,Swimming,63,False,False,False,1,bachelor,C,True,0.1373596052582692
1027,female,22,Dutch,Tennis,63,False,False,False,1,bachelor,B,False,0.05188554428116552
2226,female,31,Dutch,Golf,56,False,False,False,1,bachelor,C,False,0.13298853002708078
3011,male,25,Dutch,Football,50,False,False,False,2,master,D,False,2.6329471631323484e-06
3622,female,22,Dutch,Chess,57,False,False,False,0,bachelor,D,False,0.013252242579622509
219,male,24,German,Swimming,67,False,False,False,1,bachelor,A,False,0.2497312720461402
403,male,27,Dutch,Rugby,69,False,True,False,0,master,A,False,0.11235921108592108
2539,male,23,Dutch,Chess,69,False,False,False,1,bachelor,C,False,0.09604087927770905
