,gender,age,nationality,sport,university_grade,debateclub_exp,international_exp,ind-entrepeneur_exp,languages,degree,company,decision,probability
946,female,24,Dutch,Rugby,64,False,True,True,2,master,A,True,0.9994568277387228
918,male,26,German,Swimming,67,False,False,False,1,master,A,True,0.12765360240882348
2080,male,22,Belgian,Football,65,True,False,True,1,bachelor,C,False,2.2252288264396068e-06
1441,male,27,Dutch,Running,62,False,False,False,1,bachelor,B,False,0.021666022560454603
314,male,25,Dutch,Tennis,61,False,False,False,1,bachelor,A,False,0.004583812805358455
3498,male,24,Dutch,Tennis,57,False,False,True,2,bachelor,D,False,2.1361059270085888e-07
1636,male,24,Dutch,Football,57,True,True,False,2,bachelor,B,False,0.025419052627585308
2300,male,22,Belgian,Running,71,False,False,True,2,master,C,False,8.663521686069003e-13
2133,male,22,Dutch,Football,72,False,False,False,2,bachelor,C,False,0.04584422449946928
1396,female,26,Dutch,Running,66,False,False,False,1,bachelor,B,False,0.009920837195139892
2158,female,22,Dutch,Golf,60,False,False,False,2,bachelor,C,False,5.716040183073243e-05
2355,male,22,Dutch,Tennis,62,True,False,True,2,bachelor,C,False,0.01881705346726471
2095,female,27,Dutch,Swimming,70,False,False,False,2,master,C,False,0.631418531128141
2939,other,25,Dutch,Rugby,66,True,False,False,2,bachelor,C,True,2.2179838278297e-07
781,female,22,Dutch,Football,70,False,False,False,2,bachelor,A,False,0.21369744752933797
2666,female,24,Dutch,Tennis,64,False,False,False,1,bachelor,C,False,3.249192832191189e-05
3109,male,26,Belgian,Tennis,67,False,False,False,2,bachelor,D,True,0.9966480254173609
1354,male,21,Dutch,Swimming,67,False,False,False,1,bachelor,B,True,0.00038802916082162617
2064,male,26,German,Tennis,70,False,False,False,1,master,C,False,2.6397586822758227e-06
672,male,24,Dutch,Swimming,64,False,False,False,1,bachelor,A,True,0.2976385500339745
2606,male,26,Dutch,Tennis,59,True,False,True,3,bachelor,C,False,0.038368356889248625
353,female,24,German,Football,62,False,False,False,1,bachelor,A,True,0.19528210121816503
2393,male,26,Dutch,Cricket,57,False,False,False,1,master,C,True,0.671637329581971
3334,male,24,Dutch,Football,57,False,True,False,2,bachelor,D,False,1.996184526833612e-07
2336,male,28,Dutch,Rugby,53,False,False,True,2,master,C,True,0.8633855545436501
1411,female,27,Dutch,Golf,67,False,False,False,1,bachelor,B,False,0.016882299439052874
2219,male,23,Dutch,Tennis,58,False,False,False,1,bachelor,C,False,0.001569900644850075
1181,female,21,Dutch,Tennis,69,False,False,True,2,master,B,True,0.08918927848926103
3680,male,28,Dutch,Football,69,False,False,False,1,master,D,True,0.9736829419164821
3601,female,26,Dutch,Golf,67,False,False,False,1,master,D,True,0.952934296098558
3611,male,32,Dutch,Golf,63,False,True,False,0,bachelor,D,False,8.991243576167532e-06
2604,male,26,Dutch,Football,55,False,False,True,2,bachelor,C,False,0.2961165999841487
2009,male,27,Belgian,Golf,54,False,False,False,1,bachelor,C,False,0.002118953990637946
2289,female,27,Belgian,Swimming,64,False,False,False,1,master,C,False,0.9571184278370507
3418,female,25,Dutch,Chess,66,False,False,False,0,master,D,True,0.0006811178079060941
778,male,27,German,Rugby,70,False,True,False,1,master,A,True,0.9403909609910649
2298,male,22,Dutch,Running,72,False,False,False,2,master,C,False,2.8952355098108784e-06
3932,male,22,Dutch,Running,75,True,False,True,2,master,D,True,0.014913035581655411
1136,male,30,Dutch,Rugby,59,True,False,True,3,master,B,True,0.9999999852390942
646,male,27,German,Football,54,True,True,False,2,phd,A,False,0.9999930354219801
3247,male,26,Dutch,Golf,56,False,True,False,1,master,D,False,1.9732642784020145e-14
1913,male,27,Belgian,Football,54,False,True,True,2,master,B,True,0.9993104184779689
3600,male,24,German,Rugby,58,False,False,False,2,bachelor,D,False,1.4671191868606014e-12
3183,female,25,Dutch,Tennis,64,False,False,False,1,bachelor,D,False,0.040834643157761315
153,other,24,Dutch,Chess,70,False,False,False,1,master,A,True,1.0
1327,male,22,Dutch,Football,64,False,False,False,1,bachelor,B,False,0.0013579605575245862
3857,female,28,Dutch,Chess,60,False,False,False,1,master,D,False,9.615161919957653e-08
2573,male,27,Belgian,Swimming,52,True,False,False,2,bachelor,C,False,5.557433236942482e-10
650,male,25,Dutch,Rugby,57,False,False,False,1,master,A,True,0.9246438457071987
2908,female,30,Dutch,Rugby,59,False,True,False,1,bachelor,C,True,0.9985325033879306
1965,male,26,Dutch,Football,62,True,False,True,3,bachelor,B,True,0.8394014699966025
2509,male,29,Dutch,Swimming,55,False,False,False,1,bachelor,C,False,0.0006764597068519621
945,male,27,Dutch,Football,55,False,False,False,1,bachelor,A,False,0.19231311923992764
3814,male,29,Dutch,Cricket,67,False,True,False,1,master,D,True,0.9929006618994914
2370,male,32,Dutch,Golf,58,False,False,False,1,bachelor,C,True,0.3573429888404725
2060,male,28,Dutch,Rugby,66,False,True,False,0,phd,C,False,0.24061827759531063
2787,female,26,Dutch,Rugby,53,False,True,False,0,master,C,True,0.8034555262172082
480,male,27,Dutch,Swimming,68,False,False,False,1,bachelor,A,False,0.10587286370043032
766,male,25,Dutch,Football,62,True,False,False,2,master,A,True,0.9023995377191106
2377,male,27,Dutch,Rugby,57,False,False,False,1,bachelor,C,False,0.2048202474992439
2816,male,27,Dutch,Football,51,False,False,False,1,bachelor,C,False,0.0002359059142125946
1631,male,25,Dutch,Tennis,66,False,False,False,2,master,B,True,0.40597025513503876
3524,female,26,German,Chess,60,False,False,False,0,bachelor,D,False,5.62758122382317e-11
2776,male,25,Dutch,Football,59,True,True,True,2,master,C,True,0.9989175072282145
2521,female,23,Dutch,Chess,67,False,False,False,1,bachelor,C,False,0.00010468099413096557
8,female,28,Dutch,Football,65,True,False,True,3,bachelor,A,False,0.3627014444286959
552,female,28,Belgian,Tennis,74,False,False,True,2,bachelor,A,False,0.973177237083342
1742,male,23,Dutch,Swimming,58,False,False,False,0,bachelor,B,False,2.114600191873275e-07
